timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1569011596853,148,HTTP Request,200,OK,Thread Group 1-7,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,148,0,69
1569011596842,165,HTTP Request,200,OK,Thread Group 1-8,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,165,0,72
1569011596840,190,HTTP Request,200,OK,Thread Group 1-5,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,190,0,76
1569011596561,485,HTTP Request,200,OK,Thread Group 1-1,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,485,0,77
1569011596923,136,HTTP Request,200,OK,Thread Group 1-10,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,136,0,67
1569011596872,211,HTTP Request,200,OK,Thread Group 1-6,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,211,0,71
1569011596974,164,HTTP Request,200,OK,Thread Group 1-4,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,164,0,70
1569011597008,197,HTTP Request,200,OK,Thread Group 1-8,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,197,0,64
1569011597031,209,HTTP Request,200,OK,Thread Group 1-5,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,209,0,76
1569011597084,161,HTTP Request,200,OK,Thread Group 1-6,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,161,0,59
1569011597060,197,HTTP Request,200,OK,Thread Group 1-10,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,197,0,70
1569011596913,348,HTTP Request,200,OK,Thread Group 1-9,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,348,0,68
1569011596905,360,HTTP Request,200,OK,Thread Group 1-3,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,360,0,61
1569011597002,266,HTTP Request,200,OK,Thread Group 1-7,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,266,0,66
1569011597047,221,HTTP Request,200,OK,Thread Group 1-1,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,221,0,77
1569011597002,273,HTTP Request,200,OK,Thread Group 1-2,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,273,0,72
1569011597206,138,HTTP Request,200,OK,Thread Group 1-8,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,138,0,62
1569011597139,203,HTTP Request,200,OK,Thread Group 1-4,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,203,0,71
